Rank,Company,Symbol,Industry,ESG Score,Comp Rtg,RS Rtg,EPS Rtg,SMR Rtg,3-Yr EPS Growth Rate,ROE,Last Qtr Sales % Chg,Last Qtr EPS % Chg,Div Yld
1,Microsoft,MSFT,Computer Software-Desktop,76.3,99,84,94,A,25%,47%,21%,49%,0.7
2,Linde,LIN,Chemicals-Specialty,76,94,66,85,B,16,9,19,42,1.3
3,Accenture,ACN,Computer-Tech Services,75.95,97,84,81,A,9,33,21,26,1
4,J.B. Hunt,JBHT,Transportation-Trucking,74.14,89,68,81,B,6,21,36,41,0.7
5,Xylem,XYL,Machinery-Tools & Resources,73.89,87,87,79,B,-8,13,16,65,0.8
6,Texas Instruments,TXN,Electronics-Semiconductor Mfg,73.14,88,57,90,A,6,58,41,78,2.1
7,Salesforce.com,CRM,Computer Software-Enterprise,72.92,94,56,87,A,33,12,23,3,n.a.
8,Gildan Activewear,GIL,Apparel-Clothing Mfg,72.84,87,88,65,C,n.a.,-2,225,169,n.a.
9,Metropolitan Bank,MCB,Banks-Northeast,72.68,96,96,93,A,23,12,18,21,n.a.
10,IHS Markit,INFO,Financial Services-Specialty,72.6,93,84,75,A,11,13,15,17,0.7
11,STMicroelectronics,STM,Electronics-Semiconductor Mfg,72.37,96,79,96,B,1,14,43,340,0.3
12,Nvidia,NVDA,Electronics-Semiconductor Fabless Mfg,72.19,99,93,97,A,27,43,68,89,0.1
13,Rogers,ROG,Electronics-Semiconductor Mfg,72.08,93,85,82,B,-1,10,23,52,n.a.
14,Oracle,ORCL,Computer Software-Database,71.14,93,86,83,A,14,163,8,28,1.4
15,Motorola Solutions,MSI,Telecom Services-Integrated,70.81,89,87,88,..,9,0,22,49,1.2
16,Qualcomm,QCOM,Electronics-Semiconductor Fabless Mfg,70.53,91,51,76,A,25,92,65,123,1.9
17,Sherwin-Williams,SHW,Chemicals-Paints,70.45,91,76,87,A,17,58,17,12,0.7
18,TE Connectivity,TEL,Electronics-Parts,70.38,94,79,78,A,-5,14,51,203,1.3
19,Hewlett-Packard,HPE,Computer - Tech Services,70.26,87,76,72,C,7,12,12,70,3.1
20,Exponent,EXPO,Commercial Services-Consulting,70.12,95,86,89,A,7,20,30,66,0.7
21,Adobe,ADBE,Computer Software-Desktop,70.06,98,87,94,A,26,41,23,24,n.a.
22,Matson,MATX,Transportation-Shipping,69.68,99,87,95,A,44,22,67,388,1.5
23,Stellantis,STLA,Auto Manufacturers,69.22,89,87,73,B,-13,16,291,275,n.a.
24,Crown Holdings,CCK,Containers/Packaging,68.66,89,66,88,A,11,41,34,61,0.7
25,Deere,DE,Machinery-Farm,68.58,91,83,97,A,14,23,29,107,1.1
